t,x_fit,y_fit,z_fit,x_target,y_target,z_target
0.0000000000,-0.0000000000,-0.1414671719,0.0000000000,-0.3594433400,-0.4733598536,1.8852631579
0.0005002501,-0.0003828785,-0.1416074292,0.0012506623,-0.3593056469,-0.4733908830,1.8854017798
0.0010005003,-0.0007657562,-0.1417476865,0.0025013235,-0.3591679538,-0.4734219124,1.8855404018
0.0015007504,-0.0011486325,-0.1418879438,0.0037519824,-0.3590302607,-0.4734529418,1.8856790237
0.0020010005,-0.0015315068,-0.1420282011,0.0050026381,-0.3588925676,-0.4734839712,1.8858176457
0.0025012506,-0.0019143781,-0.1421684585,0.0062532894,-0.3587548745,-0.4735150006,1.8859562676
0.0030015008,-0.0022972460,-0.1423087158,0.0075039352,-0.3586171814,-0.4735460300,1.8860948896
0.0035017509,-0.0026801096,-0.1424489731,0.0087545744,-0.3584794883,-0.4735770594,1.8862335115
0.0040020010,-0.0030629682,-0.1425892304,0.0100052060,-0.3583417952,-0.4736080888,1.8863721334
0.0045022511,-0.0034458211,-0.1427294877,0.0112558287,-0.3582041021,-0.4736391182,1.8865107554
0.0050025013,-0.0038286677,-0.1428697450,0.0125064415,-0.3580664090,-0.4736701476,1.8866493773
0.0055027514,-0.0042115072,-0.1430100024,0.0137570434,-0.3579287158,-0.4737011770,1.8867879993
0.0060030015,-0.0045943390,-0.1431502597,0.0150076332,-0.3577910227,-0.4737322064,1.8869266212
0.0065032516,-0.0049771622,-0.1432905170,0.0162582098,-0.3576533296,-0.4737632358,1.8870652431
0.0070035018,-0.0053599762,-0.1434307743,0.0175087721,-0.3575156365,-0.4737942652,1.8872038651
0.0075037519,-0.0057427803,-0.1435710316,0.0187593190,-0.3573779434,-0.4738252945,1.8873424870
0.0080040020,-0.0061255737,-0.1437112890,0.0200098495,-0.3572402503,-0.4738563239,1.8874811090
0.0085042521,-0.0065083559,-0.1438515463,0.0212603624,-0.3571025572,-0.4738873533,1.8876197309
0.0090045023,-0.0068911260,-0.1439918036,0.0225108566,-0.3569648641,-0.4739183827,1.8877583529
0.0095047524,-0.0072738833,-0.1441320609,0.0237613310,-0.3568271710,-0.4739494121,1.8878969748
0.0100050025,-0.0076566272,-0.1442723182,0.0250117846,-0.3566894779,-0.4739804415,1.8880355967
0.0105052526,-0.0080393570,-0.1444125756,0.0262622162,-0.3565517848,-0.4740114709,1.8881742187
0.0110055028,-0.0084220718,-0.1445528329,0.0275126248,-0.3564140917,-0.4740425003,1.8883128406
