z,y
-0.6868421052631579,-0.7135188866799205
-0.6797368421052632,-0.7159609724465706
-0.6726315789473685,-0.7184030582132208
-0.6675040716873972,-0.721028467864687
-0.6627326081928454,-0.7236869796843937
-0.6579613615337172,-0.7263454429671969
-0.6513157894736843,-0.728830144135189
-0.6442105263157896,-0.731272229901839
-0.6386233279579565,-0.7338550241519632
-0.6338518644634046,-0.7365135359716701
-0.6290806178042764,-0.7391719992544732
-0.6228947368421053,-0.7416993158238072
-0.6157894736842107,-0.7441414015904573
-0.6097425842285157,-0.7466815804392397
-0.6049713375693875,-0.7493400437220428
-0.6001998740748355,-0.7519985555417497
-0.5944736842105264,-0.7545684875124254
-0.5873684210526317,-0.7570105732790756
-0.5808618404990749,-0.759508136726516
-0.5731578947368421,-0.7618946962754722
-0.5662950535824425,-0.7643592546284792
-0.5615238069233142,-0.7670177179112824
-0.5567523434287625,-0.7696762297309891
-0.5518421052631579,-0.772321830734344
-0.54218555651213,-0.7745273476329524
-0.5374143098530018,-0.7771858109157554
-0.5305263157894737,-0.7796480394973908
-0.523421052631579,-0.7820901252640409
-0.5180762762772411,-0.7846954163689737
-0.5092105263157896,-0.7869742725288893
-0.5035092725251851,-0.7895465342709369
-0.4987380258660568,-0.7922050218221919
-0.4889424856085527,-0.7943976521729001
-0.48417123894942443,-0.7970561397241551
-0.4793999922902961,-0.7997146030069584
-0.46960445203279205,-0.8019072576261184
-0.4648332053736637,-0.8045657209089215
-0.45503766511615956,-0.8067583755280816
-0.45026641845703125,-0.8094168630793366
-0.4452631578947369,-0.8120538245138544
-0.43569963154039887,-0.8142679809812998
-0.4309281680458471,-0.8169264442641029
-0.4211328446237665,-0.8191190988832631
-0.4163613811292147,-0.8217775621660661
-0.4065660577071341,-0.8239702167852262
-0.4017945942125823,-0.8266286800680294
-0.3919992707905017,-0.8288213346871894
-0.38722780729594997,-0.8314798222384444
-0.3774322670384458,-0.8336724525891526
-0.3676369436163651,-0.8358651072083128
-0.3628654801218133,-0.8385235704911158
-0.35307015669973274,-0.840716225110276
-0.3482986932051809,-0.843374688393079
-0.3386842105263158,-0.8455841125124255
-0.33373190628854854,-0.8482258062950423
-0.323936582866468,-0.8504184609142024
-0.31736842105263163,-0.8529103455439241
-0.3093695791144121,-0.8552695788161656
-0.29957425569233154,-0.8574622334353257
-0.2948027921977797,-0.8601206967181289
-0.28500746877569916,-0.8623133513372888
-0.27521192851819487,-0.8645059816879971
-0.27044068185906667,-0.8671644692392521
-0.2606451416015625,-0.8693570995899603
-0.2508496013440584,-0.8715497542091204
-0.2460783546849301,-0.8742082174919236
-0.23628281442742605,-0.8764008721110836
-0.22648727416992198,-0.8785935024617918
-0.22171602751079367,-0.8812519900130468
-0.2119204872532896,-0.8834446446322068
-0.20212494699578543,-0.8856372749829151
-0.19232962357370487,-0.8878299296020751
-0.18755816007915305,-0.8904883928848784
-0.1777628366570725,-0.8926810475040383
-0.1679672963995683,-0.8948736778547466
-0.15817175614206413,-0.8970663324739067
-0.14837621588456007,-0.8992589628246149
-0.14360496922543176,-0.9019174503758699
-0.1338094289679277,-0.9041100807265781
-0.12401388871042363,-0.9063027353457381
-0.11421856528834295,-0.9084953899648982
-0.10442302503083889,-0.9106880203156065
-0.09462748477333482,-0.9128806749347664
-0.0898562381142064,-0.9155391382175697
-0.08006069785670245,-0.9177317928367297
-0.07026515759919827,-0.919924423187438
-0.06046983417711771,-0.922117077806598
-0.05067429391961353,-0.9243097081573062
-0.04087875366210947,-0.9265023627764662
-0.031083213404605292,-0.9286949931271745
-0.021287889982524844,-0.9308876477463346
-0.011492349725020667,-0.9330802780970429
-0.0016968094675166023,-0.9352729327162028
0.008098730789987574,-0.9374655630669111
0.01789427104749175,-0.9396582176860712
0.02768959446957231,-0.9418508723052312
0.037485134727076486,-0.9440435026559395
0.04728067498458044,-0.9462361572750995
0.057076215242084616,-0.9484287876258077
0.0671018178839432,-0.9504970178926442
0.07874826531661172,-0.9516894482713097
0.08854358873869239,-0.9538821028904698
0.09833912899619646,-0.956074733241178
0.10813466925370052,-0.958267387860338
0.11793020951120459,-0.9604600182110463
0.12772553293328526,-0.9626526728302063
0.13758438913445714,-0.9648111332007954
0.14939779984323576,-0.9659133334757083
0.15919312326531643,-0.9681059880948684
0.1689886635228205,-0.9702986184455766
0.17878420378032478,-0.9724912730647366
0.19066071359734782,-0.9735592790910786
0.20045625385485188,-0.9757519337102386
0.21025179411235595,-0.9779445640609469
0.22191970825195295,-0.9791252485089464
0.23192384418688305,-0.9812052247064489
0.24171916760896373,-0.983397879325609
0.2517061735454357,-0.9854870775347914
0.26339121768349083,-0.986658539971111
0.2731867579409949,-0.9888511824560451
0.2844355292069284,-0.9902584493041751
0.294858808015522,-0.992111843101547
0.3046543482730263,-0.9943044855864812
0.3165308580900493,-0.995372503747049
0.32632639834755317,-0.9975651583662091
0.3382029081645762,-0.9986331765267769
0.3479984484220805,-1.000825819011711
