t,x_fit,y_fit,z_fit,x_target,y_target,z_target
0.0295147574,17.6410611948,119.7568244630,30.5544252881,68.0369785189,416.1692625280,212.5106859895
0.0300150075,17.9360504570,119.8153137399,31.0702222912,67.9869282108,416.2614756431,212.5921659385
0.0305152576,18.2308382582,119.8738030168,31.5859148648,67.9372853217,416.3508719777,212.6736458874
0.0310155078,18.5254213085,119.9322922937,32.1015012829,67.8880271483,416.4376863996,212.7551258364
0.0315157579,18.8197963211,119.9907815706,32.6169798200,67.8391309872,416.5236786085,212.8366057854
0.0320160080,19.1139600127,120.0492708475,33.1323487515,67.7905741352,416.6085209367,212.9180857344
0.0325162581,19.4079091036,120.1077601244,33.6476063533,67.7423338889,416.6914705907,212.9995656833
0.0330165083,19.7016403174,120.1662494013,34.1627509025,67.6943875449,416.7717847771,213.0810456323
0.0335167584,19.9951503812,120.2247386782,34.6777806764,67.6467124001,416.8487207024,213.1625255813
0.0340170085,20.2884360260,120.2832279551,35.1926939536,67.5992857509,416.9215355734,213.2440055303
0.0345172586,20.5814939863,120.3417172320,35.7074890130,67.5520848941,416.9894865964,213.3254854792
0.0350175088,20.8743210002,120.4002065089,36.2221641346,67.5050871264,417.0519001105,213.4069654282
0.0355177589,21.1669138097,120.4586957858,36.7367175992,67.4582697445,417.1107713402,213.4884453772
0.0360180090,21.4592691606,120.5171850627,37.2511476883,67.4116100450,417.1674030957,213.5699253262
0.0365182591,21.7513838027,120.5756743396,37.7654526842,67.3650853245,417.2219158150,213.6514052751
0.0370185093,22.0432544894,120.6341636165,38.2796308702,67.3186728799,417.2744299360,213.7328852241
0.0375187594,22.3348779784,120.6926528934,38.7936805303,67.2723500076,417.3250658968,213.8143651731
0.0380190095,22.6262510313,120.7511421703,39.3075999495,67.2260940045,417.3739441352,213.8958451221
0.0385192596,22.9173704139,120.8096314472,39.8213874135,67.1798821672,417.4211850894,213.9773250710
0.0390195098,23.2082328958,120.8681207241,40.3350412090,67.1336917924,417.4669091972,214.0588050200
0.0395197599,23.4988352513,120.9266100010,40.8485596236,67.0875001766,417.5112368967,214.1402849690
0.0400200100,23.7891742585,120.9850992779,41.3619409458,67.0412846167,417.5542886258,214.2217649180
0.0405202601,24.0792467001,121.0435885548,41.8751834650,66.9950224093,417.5961848225,214.3032448669
0.0410205103,24.3690493630,121.1020778318,42.3882854715,66.9486908510,417.6370459248,214.3847248159
0.0415207604,24.6585790384,121.1605671087,42.9012452567,66.9022672386,417.6769923708,214.4662047649
0.0420210105,24.9478325223,121.2190563856,43.4140611127,66.8557288686,417.7161454039,214.5476847139
