t,x_fit,y_fit,z_fit,x_target,y_target,z_target
0.0215107554,-0.0216769985,-0.1393460202,0.0537643074,-0.3535225382,-0.4746941114,1.8912239014
0.0220110055,-0.0221750185,-0.1394796854,0.0550139395,-0.3533848455,-0.4747251410,1.8913625234
0.0225112556,-0.0226726196,-0.1396133507,0.0562635232,-0.3532471524,-0.4747561706,1.8915011453
0.0230115058,-0.0231697923,-0.1397470159,0.0575130576,-0.3531094587,-0.4747872002,1.8916397673
0.0235117559,-0.0236665274,-0.1398806812,0.0587625414,-0.3529717645,-0.4748182298,1.8917783892
0.0240120060,-0.0241628155,-0.1400143464,0.0600119736,-0.3528340692,-0.4748492594,1.8919170111
0.0245122561,-0.0246586473,-0.1401480116,0.0612613532,-0.3526963729,-0.4748802890,1.8920556331
0.0250125063,-0.0251540135,-0.1402816769,0.0625106789,-0.3525586760,-0.4749113186,1.8921942550
0.0255127564,-0.0256489047,-0.1404153421,0.0637599497,-0.3524209787,-0.4749423482,1.8923328770
0.0260130065,-0.0261433118,-0.1405490074,0.0650091646,-0.3522832813,-0.4749733778,1.8924714989
0.0265132566,-0.0266372254,-0.1406826726,0.0662583224,-0.3521455843,-0.4750044074,1.8926101208
0.0270135068,-0.0271306363,-0.1408163379,0.0675074220,-0.3520078879,-0.4750354370,1.8927487428
0.0275137569,-0.0276235353,-0.1409500031,0.0687564623,-0.3518701925,-0.4750664666,1.8928873647
0.0280140070,-0.0281159130,-0.1410836684,0.0700054422,-0.3517324977,-0.4750974962,1.8930259867
0.0285142571,-0.0286077604,-0.1412173336,0.0712543607,-0.3515948031,-0.4751285258,1.8931646086
0.0290145073,-0.0290990681,-0.1413509989,0.0725032166,-0.3514571088,-0.4751595554,1.8933032306
0.0295147574,-0.0295898270,-0.1414846641,0.0737520089,-0.3513194150,-0.4751905850,1.8934418525
0.0300150075,-0.0300800279,-0.1416183294,0.0750007364,-0.3511817219,-0.4752216146,1.8935804744
0.0305152576,-0.0305696617,-0.1417519946,0.0762493980,-0.3510440296,-0.4752526442,1.8937190964
0.0310155078,-0.0310587192,-0.1418856599,0.0774979927,-0.3509063383,-0.4752836738,1.8938577183
0.0315157579,-0.0315471913,-0.1420193251,0.0787465194,-0.3507686482,-0.4753147034,1.8939963403
0.0320160080,-0.0320350689,-0.1421529904,0.0799949769,-0.3506309600,-0.4753457330,1.8941349622
0.0325162581,-0.0325223428,-0.1422866556,0.0812433642,-0.3504932737,-0.4753767626,1.8942735842
0.0330165083,-0.0330090040,-0.1424203208,0.0824916802,-0.3503555886,-0.4754077923,1.8944122061
0.0335167584,-0.0334950435,-0.1425539861,0.0837399237,-0.3502179040,-0.4754388219,1.8945508280
0.0340170085,-0.0339804521,-0.1426876513,0.0849880938,-0.3500802193,-0.4754698515,1.8946894500
0.0345172586,-0.0344652209,-0.1428213166,0.0862361892,-0.3499425337,-0.4755008811,1.8948280719
0.0350175088,-0.0349493407,-0.1429549818,0.0874842089,-0.3498048467,-0.4755319107,1.8949666939
0.0355177589,-0.0354328027,-0.1430886471,0.0887321518,-0.3496671576,-0.4755629403,1.8951053158
0.0360180090,-0.0359155979,-0.1432223123,0.0899800168,-0.3495294667,-0.4755939699,1.8952439378
0.0365182591,-0.0363977171,-0.1433559776,0.0912278029,-0.3493917744,-0.4756249995,1.8953825597
0.0370185093,-0.0368791517,-0.1434896428,0.0924755088,-0.3492540812,-0.4756560291,1.8955211816
0.0375187594,-0.0373598925,-0.1436233081,0.0937231336,-0.3491163873,-0.4756870587,1.8956598036
0.0380190095,-0.0378399307,-0.1437569733,0.0949706761,-0.3489786931,-0.4757180883,1.8957984255
0.0385192596,-0.0383192573,-0.1438906386,0.0962181352,-0.3488409990,-0.4757491179,1.8959370475
0.0390195098,-0.0387978636,-0.1440243038,0.0974655099,-0.3487033051,-0.4757801475,1.8960756694
0.0395197599,-0.0392757407,-0.1441579691,0.0987127990,-0.3485656119,-0.4758111771,1.8962142914
0.0400200100,-0.0397528796,-0.1442916343,0.0999600015,-0.3484279188,-0.4758422067,1.8963529133
